,tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute
1,,"Paradise, CA",1059595878154059777,"If this is you, your computer might be at risk. Allow the professionals to help! #alienware #hp #laptop #asus #acer #lenovo #virus #scans #love2fix @Love 2 Fix https://www.instagram.com/p/Bp0WHy7hKoP/?utm_source=ig_twitter_share&amp;igshid=1dbes9p48vlr5",2018-11-05 23:58:38+00:00,#alienware #hp #laptop #asus #acer #lenovo #virus #love2fix,Love2fix916,,0,0,https://twitter.com/Love2fix916/status/1059595878154059777,5,23,58
2,,"Paradise, CA",1059594896544133120,"When We Stand Together @Folsom, California https://www.instagram.com/p/Bp0V0r5HTOV/?utm_source=ig_twitter_share&amp;igshid=2lwe8m7klm7d",2018-11-05 23:54:44+00:00,,erich13,,0,0,https://twitter.com/erich13/status/1059594896544133120,5,23,54
3,,"Paradise, CA",1059594573066973184,"Again, for those that asked: first weekend vs. final weekend on #YoungFrankenstein. I had to 'git gud' real fast when it came to doing my own makeup. While I… https://www.instagram.com/p/Bp0VjckBFbfxSmKiLF4_K9URvJsRImwTcKsdoY0/?utm_source=ig_twitter_share&amp;igshid=1d8xr3ocaqt8e",2018-11-05 23:53:27+00:00,#YoungFrankenstein,MadRyantist,,0,0,https://twitter.com/MadRyantist/status/1059594573066973184,5,23,53
4,,"Paradise, CA",1059593720545398786,"1.5 magnitude #earthquake. 28 km from Chester, CA, #UnitedStates http://www.earthquaketrack.com/quakes/2018-11-05-23-45-52-utc-1-5-1",2018-11-05 23:50:03+00:00,#earthquake #UnitedStates,QuakesToday,,0,0,https://twitter.com/QuakesToday/status/1059593720545398786,5,23,50
5,,"Paradise, CA",1059593571131682817,Had a great time in Tahoe City this last weekend. The last two photos say it ALL! Only my kids can pass out at a wedding while we keep going. Also...Something happened on the dance… https://www.instagram.com/p/Bp0VDmqn20F/?utm_source=ig_twitter_share&amp;igshid=v3xbyq95nzcz,2018-11-05 23:49:28+00:00,,Jaylen_Moore,,0,1,https://twitter.com/Jaylen_Moore/status/1059593571131682817,5,23,49
6,,"Paradise, CA",1059593438197358592,I've made some progress to my side of the room @Sacramento State https://www.instagram.com/p/Bp0VKZZBTny/?utm_source=ig_twitter_share&amp;igshid=gdatlxb6qxd,2018-11-05 23:48:56+00:00,,dany12459,,0,0,https://twitter.com/dany12459/status/1059593438197358592,5,23,48
7,,"Paradise, CA",1059592723102085120,"LOOOOOOOOOOOOOVING THIS!!!!!! At work and needed this rn backstreetboys TY for making me smile boys!!! @Carson City, Nevada https://www.instagram.com/p/Bp0Upf0HMzb/?utm_source=ig_twitter_share&amp;igshid=fxfsu7rmuy6b",2018-11-05 23:46:06+00:00,,Megs_WoodardA_J,,0,0,https://twitter.com/Megs_WoodardA_J/status/1059592723102085120,5,23,46
8,,"Paradise, CA",1059591442836803584,"I ran my first ever spartan race yesterday and let me tell y’all it was no easy feat... but it was SO MUCH FUN! I’m so glad I got to run it with these ones Also, am I crazy if I say I… https://www.instagram.com/p/Bp0S1xZHZFN/?utm_source=ig_twitter_share&amp;igshid=1x92r8tcjs9kv",2018-11-05 23:41:00+00:00,,godownbIazing,,2,1,https://twitter.com/godownbIazing/status/1059591442836803584,5,23,41
9,,"Paradise, CA",1059590578378366976,Monday Night Football and tacospedrito916 at the tap room tonight. Come get some tacos and beer! Don’t forget we’re giving you $2 off pints during the game. Tonight the Tennessee… https://www.instagram.com/p/Bp0TuWwHLJ2/?utm_source=ig_twitter_share&amp;igshid=2bdj0kini2j2,2018-11-05 23:37:34+00:00,,SacFountainhead,,0,0,https://twitter.com/SacFountainhead/status/1059590578378366976,5,23,37
10,,"Paradise, CA",1059590503052832770,"YOUNGLIFE AT 1038 Lakeshore tonight!!! Thralls house for club tonight! 7:11 at Thralls house!!!!! Pizza!!!!!!!! @Incline Village, Nevada https://www.instagram.com/p/Bp0TveLBVlV/?utm_source=ig_twitter_share&amp;igshid=m748mjv5le8g",2018-11-05 23:37:16+00:00,,coachtk12,,0,0,https://twitter.com/coachtk12/status/1059590503052832770,5,23,37
