City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link
"Paradise, CA",1059587765380308992,"""Brian Littrell- The Heart of The Matter"". @Carson City, Nevada https://www.instagram.com/p/Bp0SibLHTdM/?utm_source=ig_twitter_share&amp;igshid=15hgsbgnaffaz",2018-11-05 23:26:24+00:00,,Megs_WoodardA_J,,0,0,https://twitter.com/Megs_WoodardA_J/status/1059587765380308992
"Paradise, CA",1059587645783724032,Have you ever been so relaxed you didn’t have a care in the world? #Sacramento #California #throwback #RoseGarden #Vacation #NorCal #DeathGrips #Roses #Garden #Nature #Relax #Peaceful… https://www.instagram.com/p/Bp0ShrxgOB6/?utm_source=ig_twitter_share&amp;igshid=1j5umo9o9w253,2018-11-05 23:25:55+00:00,#Sacramento #California #throwback #RoseGarden #Vacation #NorCal #DeathGrips #Roses #Garden #Nature #Relax #Peaceful,jacqueling35,,0,0,https://twitter.com/jacqueling35/status/1059587645783724032
"Paradise, CA",1059587529786228737,"""Brian Littrell- The Heart of The Matter"". @Carson City, Nevada https://www.instagram.com/p/Bp0SbMQHDVo/?utm_source=ig_twitter_share&amp;igshid=1aoldcp3egwm1",2018-11-05 23:25:27+00:00,,Megs_WoodardA_J,,0,0,https://twitter.com/Megs_WoodardA_J/status/1059587529786228737
"Paradise, CA",1059587444230811651,"She pauses. Start over. Like seriously. #doodle #doodlebook #doodlesofinstagram #sketch #sketchbook #doodlesketch #bookart #drawingontext #startover #seriously @Sacramento, California https://www.instagram.com/p/Bp0Sb6VA5Q5/?utm_source=ig_twitter_share&amp;igshid=28q0tljsale1",2018-11-05 23:25:07+00:00,#doodle #doodlebook #doodlesofinstagram #sketch #sketchbook #doodlesketch #bookart #drawingontext #startover #seriously,bethshelba,,0,0,https://twitter.com/bethshelba/status/1059587444230811651
"Paradise, CA",1059581337185726465,November 14th 6pm-9pm: Dream Warriors with Native American Hip Hop and Spoken Word #Native #HipHop #ChicoState,2018-11-05 23:00:51+00:00,#Native #HipHop #ChicoState,ChicoStateCCLC,,3,0,https://twitter.com/ChicoStateCCLC/status/1059581337185726465
"Paradise, CA",1059575684144738304,A HUGE thank you to all of our wonderful friends and family that joined us for our third annual Harvest Celebration yesterday! It was wonderful seeing each and every one of your… https://www.instagram.com/p/Bp0NFs3n7_G/?utm_source=ig_twitter_share&amp;igshid=1t6wfy06bgm6r,2018-11-05 22:38:23+00:00,,SohnreyFamFoods,,0,0,https://twitter.com/SohnreyFamFoods/status/1059575684144738304
"Paradise, CA",1059570200763338753,"#Repost @BlackBryCreek ・・・ You would never take your child out for quality time suffocating puppies, but fishing is exactly the same thing; it is only tradition and culture that tells us… https://www.instagram.com/p/Bp0Kl4OHH5b/?utm_source=ig_twitter_share&amp;igshid=1qdbe8iezm6fy",2018-11-05 22:16:36+00:00,#Repost,chicovegan,@BlackBryCreek,0,0,https://twitter.com/chicovegan/status/1059570200763338753
"Paradise, CA",1059515069959229441,"Next weekend at redroomtattoo i will be helping out with this tattoo event! To help those who helped us. Giving back. For any info DM me, but I’m painting a flash sheet for this event!! @… https://www.instagram.com/p/BpzxgceBFZP/?utm_source=ig_twitter_share&amp;igshid=11qt2ujuj25zx",2018-11-05 18:37:32+00:00,,dboy5446,,0,0,https://twitter.com/dboy5446/status/1059515069959229441
"Paradise, CA",1059511091200450560,"Sycamores in the autumn sunset. #sycamore #autumn #urbanforest #chico #norcal #naturephotography #jamescoufalik #photosfromthesaddle #cycling @Chico, California https://www.instagram.com/p/BpzvtYihwLr/?utm_source=ig_twitter_share&amp;igshid=6cq6x6kgdq12",2018-11-05 18:21:43+00:00,#sycamore #autumn #urbanforest #chico #norcal #naturephotography #jamescoufalik #photosfromthesaddle #cycling,JamesCoufalik,,0,0,https://twitter.com/JamesCoufalik/status/1059511091200450560
"Paradise, CA",1059493615620276226,STOLEN - Gray Genesis Mountain https://bikeindex.org/bikes/462623,2018-11-05 17:12:17+00:00,,bikeindexstolen,,0,0,https://twitter.com/bikeindexstolen/status/1059493615620276226
"Paradise, CA",1059489768428498944,"I’m feeling insecure. • Social media is generally a place where we share our strong moments, our picture perfect moments, our “I’ve got it all together” moments. But if I want to have a… https://www.instagram.com/p/BpzmBUEl4Wv/?utm_source=ig_twitter_share&amp;igshid=la3yo9b5xgtb",2018-11-05 16:56:59+00:00,,AshleyMJackson,,0,0,https://twitter.com/AshleyMJackson/status/1059489768428498944
"Paradise, CA",1059486532023844864,A rescue closed down and contacted us at @ScottFooMusic and asked us to help them. Beautiful 10 year old male Red Iguana and 15 year old Female Green Iguana. Breeding partners! Need a new… https://www.instagram.com/p/BpzkixhgwAG/?utm_source=ig_twitter_share&amp;igshid=y3rj0oi8p4d3,2018-11-05 16:44:08+00:00,,ScottFooMusic,@ScottFooMusic,0,0,https://twitter.com/ScottFooMusic/status/1059486532023844864
"Paradise, CA",1059479970987282432,"Meet our Chico Stylist Madison | She is a Chico native, born and raised. She tracked us down while attending the Chico Bridal Show, knowing she wanted to buy her wedding gown with… https://www.instagram.com/aebridal/p/BpzhkDYlkRO/?utm_source=ig_twitter_share&amp;igshid=bej4szosbh4t",2018-11-05 16:18:03+00:00,,AE_Bridal,,0,0,https://twitter.com/AE_Bridal/status/1059479970987282432
